Order ID,Date,Product,Town,Country Code,  UnitCost  ,  UnitPrice  ,SalesQuantity, TotalCost , TotalPrice ,TotalProfit
821516,01/01/2019,Chocolate Chip Muffin,Boston,USA,0.99,4.96,322,319.42,1597.12,1277.7
821517,02/01/2019,Chicken Fajita Wrap,Geneva,CHE,0.58,2.88,230,132.48,662.4,529.92
821518,03/01/2019,Tomato Juice,Strasbourg,FRA,0.43,2.13,465,198.09,990.45,792.36
821519,04/01/2019,Still Water,Katowice,POL,0.81,4.04,495,399.96,1999.8,1599.84
821520,05/01/2019,Chocolate Chip Muffin,Hamburg,DEU,0.33,1.63,340,110.84,554.2,443.36
821521,06/01/2019,Lemon & Ginger Tea,Sydney,AUS,0.63,3.17,321,203.51,1017.57,814.06
821522,07/01/2019,Tomato Juice,Auckland,NZL,0.37,1.86,283,105.28,526.38,421.1
821523,08/01/2019,Cheese & Pickle Sandwich,London,GBR,0.92,4.59,286,262.55,1312.74,1050.19
821524,09/01/2019,Apple Juice,Salzburg,AUT,0.59,2.97,490,291.06,1455.3,1164.24
821525,10/01/2019,Chicken Salad Sandwich,San Francisco,USA,0.61,3.07,447,274.46,1372.29,1097.83
821526,11/01/2019,Tomato Juice,Berlin,DEU,0.35,1.75,259,90.65,453.25,362.6
821527,12/01/2019,Green Tea,Strasbourg,FRA,0.84,4.21,239,201.24,1006.19,804.95
821528,13/01/2019,Chocolate Chip Muffin,Portland,USA,0.38,1.89,490,185.22,926.1,740.88
821529,14/01/2019,Chicken Salad Sandwich,Boston,USA,0.71,3.57,216,154.22,771.12,616.9
821530,15/01/2019,Porridge,Salzburg,AUT,1.08,5.42,248,268.83,1344.16,1075.33
821531,16/01/2019,BLT Sandwich,Hamilton,NZL,0.44,2.21,426,188.29,941.46,753.17
821532,17/01/2019,Tuna Melt Panini,Sønderborg,DNK,0.48,2.41,317,152.79,763.97,611.18
821533,18/01/2019,Tea,Albuquerque,USA,0.92,4.59,211,193.7,968.49,774.79
821534,19/01/2019,Apple Juice,Paris,FRA,0.64,3.2,278,177.92,889.6,711.68
821535,20/01/2019,Coffee,Odense,DNK,0.79,3.93,456,358.42,1792.08,1433.66
821536,21/01/2019,Ham & Cheese Toastie,London,GBR,0.76,3.8,252,191.52,957.6,766.08
821537,22/01/2019,Cheese & Pickle Sandwich,Potsdam,DEU,0.9,4.51,222,200.24,1001.22,800.98
821538,23/01/2019,Blueberry Muffin,Sønderborg,DNK,1.02,5.11,302,308.64,1543.22,1234.58
821539,24/01/2019,Ham & Cheese Toastie,Toulouse,FRA,0.78,3.91,325,254.15,1270.75,1016.6
821540,25/01/2019,Fruit Box,Stockholm,SWE,0.71,3.57,451,322.01,1610.07,1288.06
821541,26/01/2019,Blueberry Muffin,Lille,FRA,0.42,2.12,414,175.54,877.68,702.14
821542,27/01/2019,Green Tea,Edinburgh,GBR,1.02,5.12,338,346.11,1730.56,1384.45
821543,28/01/2019,Chocolate Twist,Sønderborg,DNK,0.8,4.02,468,376.27,1881.36,1505.09
821544,29/01/2019,Lemon & Ginger Tea,Odense,DNK,0.64,3.19,292,186.3,931.48,745.18
821545,30/01/2019,Coffee,Portland,USA,0.98,4.92,272,267.65,1338.24,1070.59
821546,31/01/2019,Tuna Melt Panini,Odense,DNK,0.83,4.17,432,360.29,1801.44,1441.15
821547,01/02/2019,Tuna Melt Panini,Galway,IRL,0.35,1.75,420,147,735,588
821548,02/02/2019,BLT Sandwich,Berlin,DEU,0.45,2.26,356,160.91,804.56,643.65
821549,03/02/2019,Chocolate Chip Muffin,Copenhagan,DNK,0.76,3.82,459,350.68,1753.38,1402.7
821550,04/02/2019,Tomato Juice,Cardiff,GBR,0.76,3.8,392,297.92,1489.6,1191.68
821551,05/02/2019,Butter Croissant,London,GBR,0.65,3.26,234,152.57,762.84,610.27
821552,06/02/2019,Blueberry Muffin,Manchester,GBR,0.39,1.95,349,136.11,680.55,544.44
821553,07/02/2019,Cheese & Pickle Sandwich,Kraków,POL,0.36,1.82,366,133.22,666.12,532.9
821554,08/02/2019,Chicken Fajita Wrap,Salzburg,AUT,1.06,5.32,360,383.04,1915.2,1532.16
821555,09/02/2019,Almond Croissant,Copenhagan,DNK,0.92,4.6,269,247.48,1237.4,989.92
821556,10/02/2019,Coffee,Lille,FRA,0.58,2.89,312,180.34,901.68,721.34
821557,11/02/2019,Chocolate Chip Muffin,Katowice,POL,0.99,4.93,406,400.32,2001.58,1601.26
821558,12/02/2019,Porridge,Strasbourg,FRA,0.51,2.54,448,227.58,1137.92,910.34
821559,13/02/2019,Butter Croissant,Brussels,BEL,0.39,1.93,217,83.76,418.81,335.05
821560,14/02/2019,Tuna Melt Panini,Vancouver,CAN,0.64,3.18,285,181.26,906.3,725.04
821561,15/02/2019,Coffee,Cardiff,GBR,0.43,2.17,309,134.11,670.53,536.42
821562,16/02/2019,Tuna Melt Panini,Birmingham,GBR,0.5,2.49,295,146.91,734.55,587.64
821563,17/02/2019,Apple Juice,Cardiff,GBR,0.37,1.84,463,170.38,851.92,681.54
821564,18/02/2019,Sparkling Water,Auckland,NZL,0.95,4.74,454,430.39,2151.96,1721.57
821565,19/02/2019,Apple Juice,Austin,USA,0.94,4.72,242,228.45,1142.24,913.79
821566,20/02/2019,Orange Juice,Lausanne,CHE,0.59,2.97,410,243.54,1217.7,974.16
821567,21/02/2019,Butter Croissant,Birmingham,GBR,0.78,3.91,425,332.35,1661.75,1329.4
821568,22/02/2019,Coffee,Toulouse,FRA,0.43,2.15,459,197.37,986.85,789.48
821569,23/02/2019,Chicken Salad Sandwich,Odense,DNK,0.93,4.66,421,392.37,1961.86,1569.49
821570,24/02/2019,Tomato Juice,San Francisco,USA,0.81,4.07,360,293.04,1465.2,1172.16
821571,25/02/2019,Toast,Hamilton,NZL,0.7,3.48,207,144.07,720.36,576.29
821572,26/02/2019,Apple Juice,Berlin,DEU,0.53,2.66,439,233.55,1167.74,934.19
821573,27/02/2019,Sparkling Water,Brussels,BEL,0.9,4.5,203,182.7,913.5,730.8
821574,28/02/2019,Sparkling Water,Stuttgart,DEU,0.5,2.51,281,141.06,705.31,564.25
821575,28/02/2019,Chocolate Twist,Seattle,USA,0.86,4.32,284,245.38,1226.88,981.5
821576,01/03/2019,Cheese & Pickle Sandwich,Glasgow,GBR,1.03,5.17,260,268.84,1344.2,1075.36
821577,02/03/2019,Chocolate Twist,Austin,USA,0.83,4.13,340,280.84,1404.2,1123.36
821578,03/03/2019,Lemon & Ginger Tea,Austin,USA,0.38,1.92,305,117.12,585.6,468.48
821579,04/03/2019,Chicken Fajita Wrap,Tromsø,NOR,0.6,2.98,315,187.74,938.7,750.96
821580,05/03/2019,Coffee,Canberra,AUS,0.99,4.94,322,318.14,1590.68,1272.54
821581,06/03/2019,Blueberry Muffin,Paris,FRA,0.35,1.75,491,171.85,859.25,687.4
821582,07/03/2019,Butter Croissant,Toulouse,FRA,1.1,5.48,228,249.89,1249.44,999.55
821583,08/03/2019,Chicken Fajita Wrap,Glasgow,GBR,0.81,4.05,359,290.79,1453.95,1163.16
821584,09/03/2019,Almond Croissant,Sydney,AUS,0.74,3.69,252,185.98,929.88,743.9
821585,10/03/2019,Toast,Lausanne,CHE,0.76,3.81,283,215.65,1078.23,862.58
821586,11/03/2019,Coffee,Strasbourg,FRA,1.04,5.22,299,312.16,1560.78,1248.62
821587,12/03/2019,Cheese & Pickle Sandwich,Graz,AUT,1.01,5.03,263,264.58,1322.89,1058.31
821588,13/03/2019,Toast,Glasgow,GBR,0.83,4.16,472,392.7,1963.52,1570.82
