Order ID,Date,Product,Town,Country Code,  UnitCost  ,  UnitPrice  ,SalesQuantity, TotalCost , TotalPrice ,TotalProfit
208660,01/01/2017,Almond Croissant,San Francisco,USA,1.23,6.14,452,555.06,2775.28,2220.22
208661,02/01/2017,Tea,Tromsø,NOR,1.86,9.32,495,922.68,4613.4,3690.72
208662,03/01/2017,Apple Juice,Canberra,AUS,1.87,9.34,387,722.92,3614.58,2891.66
208663,04/01/2017,BLT Sandwich,Berlin,DEU,0.76,3.78,265,200.34,1001.7,801.36
208664,05/01/2017,Toast,Boston,USA,1.85,9.26,344,637.09,3185.44,2548.35
208665,06/01/2017,Chocolate Chip Muffin,Southampton,GBR,0.86,4.28,287,245.67,1228.36,982.69
208666,07/01/2017,Coffee,San Francisco,USA,0.96,4.82,357,344.15,1720.74,1376.59
208667,08/01/2017,Apple Juice,Melbourne,AUS,1.4,7,577,807.8,4039,3231.2
208668,09/01/2017,Lemon & Ginger Tea,Vancouver,CAN,0.99,4.96,546,541.63,2708.16,2166.53
208669,10/01/2017,Peach Juice,Madison,USA,1.82,9.1,488,888.16,4440.8,3552.64
208670,11/01/2017,Peach Juice,Hamburg,DEU,1.5,7.5,247,370.5,1852.5,1482
208671,12/01/2017,Almond Croissant,Melbourne,AUS,1.33,6.66,312,415.58,2077.92,1662.34
208672,13/01/2017,Still Water,Cardiff,GBR,1.35,6.74,593,799.36,3996.82,3197.46
208673,14/01/2017,Blueberry Muffin,Sønderborg,DNK,0.69,3.44,267,183.7,918.48,734.78
208674,15/01/2017,Green Tea,Strasbourg,FRA,0.74,3.72,354,263.38,1316.88,1053.5
208675,16/01/2017,Coffee,Austin,USA,1.01,5.06,484,489.81,2449.04,1959.23
208676,17/01/2017,Chocolate Twist,Tromsø,NOR,0.75,3.74,247,184.76,923.78,739.02
208677,18/01/2017,BLT Sandwich,Dresden,DEU,1.39,6.96,423,588.82,2944.08,2355.26
208678,19/01/2017,Orange Juice,Portland,USA,1.36,6.78,308,417.65,2088.24,1670.59
208679,20/01/2017,Cheese & Pickle Sandwich,Salzburg,AUT,0.89,4.44,265,235.32,1176.6,941.28
208680,21/01/2017,Ham & Cheese Toastie,Paris,FRA,1,4.98,382,380.47,1902.36,1521.89
208681,22/01/2017,Orange Juice,Vancouver,CAN,0.76,3.82,338,258.23,1291.16,1032.93
208682,23/01/2017,Green Tea,Hamilton,NZL,0.64,3.2,326,208.64,1043.2,834.56
208683,24/01/2017,Blueberry Muffin,Berlin,DEU,2.04,10.2,223,454.92,2274.6,1819.68
208684,25/01/2017,Almond Croissant,Graz,AUT,1.52,7.62,502,765.05,3825.24,3060.19
